"id","status","species","common_name","scientific_name","year_nominated","circumference","height","spread","total_points","state","location"
"6299","Co-Champion","REDBUD","Eastern","Cercis canadensis","","132","30","39","172","VA","Fairfax"
"6038","Co-Champion","REDBUD","Eastern","Cercis canadensis","2017","135","30","48","177","VA","Loudoun County"
"3321","Champion","REDCEDAR","Eastern","Juniperus virginiana","1989","251","56","88","329","GA","Coffee"
"3322","Champion","REDCEDAR","Southern","Juniperus virginiana var. silicicola","1995","208","77","56","299","FL","Alachua"
"6204","Champion","REDCEDAR","Western","Thuja plicata","1977","746","163.67","48","922","WA",""
"3324","Champion","REDSHANK","","Adenostoma sparsifolium","1977","48","23","26","78","CA","Warner Springs"
"3326","Champion","REDWOOD","Coast","Sequoia sempervirens","1998","950","321","75","1290","CA","Jedediah Smith Redwoods SP"
"6097","Champion","REDWOOD","Dawn","Metesequoia glyptostroboides","2017","212","112","60","339","NJ",""
"6293","Champion","RHODODENDRON","Pacific","Rhododendron macrophyllum","2018","35","40","27","82","CA",""
"4994","Champion","RHODODENDRON","Rosebay","Rhododendron maximum","2011","48","18","26","73","NC","Transylvania"
"5895","Champion","ROSEMALLOW","Brackenridge","Hibiscus  brackenridgei","2017","29","16","15.5","49","HI","Wahiawa, Oahu"
"5703","Champion","ROSEMALLOW","White","Hibiscus arnottianus","2015","34.54","33","27","74","HI","Oahu"
"5140","Champion","ROYALPALM","Florida","Roystonea regia","2012","76","82","14","162","FL","Collier"
"3335","Champion","SAGEBRUSH","Big","Artemisia tridentata","1995","32","16","18","53","OR","Jefferson"
"4572","Co-Champion","SAGUARO","","Carnegiea gigantea","2009","83","54","15","141","AZ","Pinal"
"5537","Co-Champion","SAGUARO","","Carnegiea gigantea","2014","119","30","9","151","AZ","Mesa"
"3343","Champion","SASSAFRAS","","Sassafras albidum","1954","283","62","51","358","KY","Daviess"
"4055","Champion","SATINWOOD","West Indian","Zanthoxylum flavum","2007","60","21","23.5","87","FL","Monroe"
"5105","Champion","SAW-PALMETTO","","Serenoa repens","1986","25","17","10.5","45","FL","St. Lucie"
"3349","Champion","SCARLETBUSH","","Hamelia patens","2005","23","13","21","41","FL","Brevard"
"3351","Champion","SEQUOIA","Giant","Sequoiadendron giganteum","1940","1020","274","107","1321","CA","Sequoia NP"
"6297","Champion","SERVICEBERRY","Allegheny","Amelanchier laevis","","108","41","50","162","VA","Floyd County"
"4400","Champion","SERVICEBERRY","Downy","Amelanchier arborea","2009","134","34","52","181","CT","Hartford"
"5826","Champion","SERVICEBERRY","Roundleaf","Amelanchier sanguinea","2016","59","46","41","115","VT","Clarendon"
"3355","Champion","SERVICEBERRY","Utah","Amelanchier utahensis","2005","14","21","25","41","AZ","Coconino NF"
"5317","Champion","SERVICEBERRY","Western","Amelanchier alnifolia","2013","37","44","25","87","OR","Clackamas"
"5445","Champion","SEVEN-YEAR-APPLE","","Casasia clusiifolia","2014","13","25","12","41","FL","Miami-Dade"
"5530","Champion","SILKTASSEL","Wavyleaf","Garrya elliptica","2013","49","22","18","76","OR","Curry"
"4125","Champion","SILKTASSEL","Wright","Garrya wrightii","2007","38","17","19","60","AZ","Coconino NF"
"4564","Champion","SILKTREE","Mimosa","Albizia julibrissin","2009","165","59","103","250","VA","Virginia Beach City"
"5782","Champion","SILVERBELL","Carolina","Halesia carolina","2016","99","118","52.5","230","TN",""
"6043","Champion","SILVERBELL","Mountain","Halesia tetraptera","2017","86","48","34","143","VA","Goochland County"
"4942","Co-Champion","SILVERBELL","Two-Wing","Halesia diptera","2011","62","67","36","138","NC","Buncombe"
"4855","Co-Champion","SILVERBELL","Two-Wing","Halesia diptera","2011","66","62","46","140","NJ","Middlesex"
"5043","Champion","SMOKETREE","American","Cotinus obovatus","2012","150","33","47","195","CT","Windham"
"4625","Champion","SNOWBELL","American","Styrax americanus","2009","11","21","21","37","VA","Isle of Wight County"
"4661","Champion","SNOWBELL","Bigleaf","Styrax grandifolius","2009","20","17","26","44","VA","Suffolk City"
"5866","Champion","SOAPBERRY","Lonomea","Sapindus oahuensis","2017","56.4","60","27","123","HI","Pahole Gulch, Oahu"
"4061","Champion","SOAPBERRY","Western","Sapindus saponaria var. drummondii","2007","190","40","53","243","KS","Olathe"
"6010","Champion","SOAPBERRY","Wingleaf","Sapindus saponaria","2017","160.5","71","68","249","HI","Hawaii Volcanoes National Park"
"4439","Champion","SOLDIERWOOD","","Colubrina elliptica","2009","41","27","17.5","72","FL","Monroe"
"5644","Champion","SOPHORA","Mamani","Sophora chrysophylla","2015","295.16","24","45","330","HI","Mauna Kea Forest Reserve"
"5185","Co-Champion","SOPHORA","Mescalbean","Sophora secundiflora","2012","58","40","16","102","TX","New Braunfels"
"4390","Co-Champion","SOPHORA","Mescalbean","Sophora secundiflora","2009","61","39","22","106","TX","San Antonio"
"3376","Champion","SOURWOOD","","Oxydendrum arboreum","1998","130","74","47","216","VA","Amelia County"
"3969","Co-Champion","SPARKLEBERRY","Tree","Vaccinium arboreum","2007","62","22","32","92","TX","Houston County"
"4446","Co-Champion","SPARKLEBERRY","Tree","Vaccinium arboreum","2009","55","28","40","93","FL","Walton"
"5864","Champion","SPICEBUSH","","Lindera benzoin","2017","27","17","23","50","MD","Little Bennett Regional Park"
"4739","Champion","SPRUCE","Black","Picea mariana","2010","75","76","37","160","ME","Hancock"
"5452","Co-Champion","SPRUCE","Blue","Picea pungens","2014","152","154","37","315","CO","Sawpit"
"5735","Co-Champion","SPRUCE","Blue","Picea pungens","2016","137","180.58","23.25","323","CO","Hermosa Creek"
"3383","Co-Champion","SPRUCE","Blue","Picea pungens","1991","192","122","35","323","UT","Ashley NF"
"4966","Champion","SPRUCE","Brewer","Picea breweriana","2011","271","142","44","424","CA","Shasta-Trinity National Forest"
"5624","Champion","SPRUCE","Engelmann","Picea engelmannii","1969","260","127","27","394","OR","Linn"
"5574","Champion","SPRUCE","Norway","Picea abies","2014","218","124","59","357","CT","Salisbury, CT"
"3954","Champion","SPRUCE","Red","Picea rubens","2007","152","147","24","305","NC","Great Smoky Mountains NP"
"5667","Champion","SPRUCE","Serbian","Picea omorika","2015","57","64","21","126","OH","Plain City"
"3390","Champion","SPRUCE","Sitka","Picea sitchensis","1987","740","191","80","951","WA","Olympic NP"
"4804","Champion","SPRUCE","White","Picea glauca","2011","191","91","20","287","MT","Lincoln"
"5305","Champion","STEWARTIA","Mountain","Stewartia ovata","2013","18","33","24","57","NC","Clay"
"5663","Champion","STEWARTIA","Virginia","Stewartia malacodendron","2015","26","19","34","54","NC","Gates"
"5116","Champion","STOPPER","Boxleaf","Eugenia foetida","2012","24","23","12","50","FL","Miami-Dade"
"3396","Champion","STOPPER","Red","Eugenia rhombea","1999","19","26","9","47","FL","Monroe"
"5441","Champion","STOPPER","Redberry","Eugenia confusa","2014","53","57","18","115","FL","Miami-Dade"
"6079","Champion","STOPPER","Twinberry","Myrcianthes fragrans","2013","43","27","16","74","FL","Broward"
"5115","Champion","STOPPER","White","Eugenia axillaris","2012","48","34","29","89","FL","Miami-Dade"
"3401","Champion","STRONGBACK","Bahama","Bourreria succulenta","1999","34","30","21","69","FL","Monroe"
"4449","Champion","SUGARBERRY","","Celtis laevigata","2009","259","85","76","363","FL","Hamilton"
"3404","Co-Champion","SUMAC","Evergreen","Rhus virens","2005","34","16","17","54","TX","New Braunfels"
"4786","Co-Champion","SUMAC","Evergreen","Rhus virens","2011","27","21","26","55","TX","Travis County"
"5232","Champion","SUMAC","Lemonade","Rhus integrifolia","2013","55","16","51","84","CA","Chula Vista"
"3855","Champion","SUMAC","Littleleaf","Rhus microphylla","2007","13","14","20","32","AZ","Graham"
"4109","Champion","SUMAC","Mearns","Rhus virens var. choriophylla","2007","21","20","16","45","AZ","Coronado NF"
"5888","Champion","SUMAC","Nenelau","Rhus sandwicensis","2017","20","19","26","46","HI","Hawai699;i"
"5786","Champion","SUMAC","Prairie","Rhus lanceolata","2016","38","30","21.42","73","TX","Gillespie County"
"5095","Champion","SUMAC","Shining","Rhus copallinum","2000","48","35","28","90","MS","Pontotoc"
"6258","Champion","SUMAC","Smooth","Rhus glabra","","26","35.42","29.5","69","WA",""
"5767","Co-Champion","SUMAC","Staghorn","Rhus typhina","2016","44","18.92","26","69","MT","Ravalli"
"5814","Co-Champion","SUMAC","Staghorn","Rhus typhina","2016","27","39","20","71","NY","Blenheim"
"5046","Co-Champion","SUMAC","Sugar","Rhus ovata","2012","74","28","35","111","AZ","Phoenix"
"3411","Co-Champion","SUMAC","Sugar","Rhus ovata","1995","71","34","36","114","AZ","Tonto NF"
"5483","Champion","SWAMP-PRIVET","Eastern","Forestiera acuminata","2012","32","41","36.42","82","TX","Red River County"
"6049","Champion","SWEETGUM","","Liquidambar styraciflua","2017","197","140","89","359","VA","Southampton County"
"3414","Champion","SWEETLEAF","Common","Symplocos tinctoria","1986","46","48","32","102","VA","Chesapeake City"
"3949","Champion","SYCAMORE","American","Platanus occidentalis","2007","432","124","88","578","OH","Ashland"
"5007","Champion","SYCAMORE","Arizona","Platanus wrightii","2011","424","54","102","504","AZ","Coconino NF"
"5158","Champion","SYCAMORE","California","Platanus racemosa","2012","626","94","95.5","744","CA","Santa Barbara"
"5967","Champion","SYZYGIUM","'Ohi'a ha","Syzygium sandwicense","2017","82","27","23","115","HI","Aiea Ridge Trail"
"5845","Champion","SYZYGIUM","Malaysian apple","Syzygium malaccense","2017","30","42","28","79","HI","Lawa'i, Kaua'i"
"4827","Champion","TALLOWTREE","","Triadica sebifera","2011","159","55","57.5","228","TX","Houston"
"5847","Champion","TAMARACK","","Larix laricina","2017","150","67","69","234","MN","Brainerd"
"3421","Champion","TAMARIND","","Tamarindus indica","1986","184","56","82","261","FL","Monroe"
"5048","Champion","TAMARISK","Small-flower","Tamarix paryiflora","2004","80","24","32","112","OR","Multnomah"
"3424","Champion","TANOAK","","Lithocarpus densiflorus","1997","303","135","63","454","OR","Curry"
"5431","Co-Champion","THATCHPALM","Florida","Thrinax radiata","2014","9","37","5.5","47","FL","Monroe"
"5122","Co-Champion","THATCHPALM","Florida","Thrinax radiata","2012","16","33","8","51","FL","Miami-Dade"
"3427","Co-Champion","THATCHPALM","Florida","Thrinax radiata","1991","17","35","8","54","FL","Broward"
"3428","Champion","THATCHPALM","Key","Thrinax morrisii","1996","20","24","8","46","FL","Miami-Dade"
"4964","Co-Champion","TORCHWOOD","Torchwood","Amyris elemifera","1986","22","26","19","53","FL","Monroe"
"4437","Co-Champion","TORCHWOOD","Torchwood","Amyris elemifera","2009","22","30","16","56","FL","Monroe"
"5476","Champion","TORREYA","California","Torreya californica","2014","133","105","60","253","CA","Big Basin State Park"
"4231","Co-Champion","TOYON","","Heteromeles arbutifolia","2008","46","40","35","95","CA","Orange"
"3432","Co-Champion","TOYON","","Heteromeles arbutifolia","1993","58","32","28","97","CA","Santa Barbara County"
"3845","Champion","TREE TOBACCO","","Nicotiana glauca","2007","18","20","16","42","AZ","Tonto NF"
"5151","Champion","TREMA","West Indies","Trema lamarckiana","2012","18","29","17","51","FL","Miami-Dade"
"3439","Champion","TUPELO","Black","Nyssa sylvatica","2001","247","78","95","349","TX","Wood County"
"5236","Champion","TUPELO","Ogeechee","Nyssa ogeche","2013","173","95","63","284","FL","Wakulla"
"5396","Champion","TUPELO","Swamp","Nyssa biflora","2013","206","116","54","336","VA","City of Chesapeake"
"4540","Champion","TUPELO","Water","Nyssa aquatica","2009","463","108","53","584","VA","Greensville County"
"6109","Champion","VAUQUELINIA","Slimleaf rosewood","Vauquelinia corymbosa","2017","30","23","18.5","58","TX","Upton County"
"3445","Champion","VAUQUELINIA","Torrey","Vauquelinia californica","1993","78","47","40","135","AZ","Organ Pipe Cactus NM"
"4442","Champion","VELVETSEED","Elliptic-leaf","Guettarda elliptica","2009","40","35","23.5","81","FL","Monroe"
"6175","Co-Champion","VELVETSEED","Roughleaf","Guettarda scabra","2018","22","27","17.5","53","FL","Miami-Dade"
"3447","Co-Champion","VELVETSEED","Roughleaf","Guettarda scabra","1998","19","33","10","55","FL","Monroe"
"5562","Champion","VIBURNUM","Possumhaw","Viburnum nudum","2014","9","19","18","33","NC","Jackson County"
